ts_code,date,close,open,high,low,vol,amount,trade_date,pre_close,change,pct_chg
000001.SZ,2023-01-03 09:30:00,13.16,13.2,13.23,13.16,3546700.0,46816788.0,20230103,,,
000001.SZ,2023-01-03 10:30:00,13.55,13.18,13.6,13.05,78765704.0,1049845400.0,20230103,13.16,0.39000000000000057,2.96
000001.SZ,2023-01-03 11:30:00,13.59,13.55,13.6,13.45,33695476.0,456236640.0,20230103,13.55,0.03999999999999915,0.3
000001.SZ,2023-01-03 14:00:00,13.71,13.58,13.72,13.51,49041240.0,668986600.0,20230103,13.59,0.120000000000001,0.88
000001.SZ,2023-01-03 15:00:00,13.77,13.71,13.85,13.7,54363670.0,749661600.0,20230103,13.71,0.05999999999999872,0.44
000001.SZ,2023-01-04 09:30:00,13.7,13.71,13.72,13.7,710200.0,9736941.0,20230104,13.77,-0.07000000000000028,-0.51
000001.SZ,2023-01-04 10:30:00,14.35,13.71,14.42,13.63,102346170.0,1441407600.0,20230104,13.7,0.6500000000000004,4.74
000001.SZ,2023-01-04 11:30:00,14.29,14.35,14.38,14.23,35728316.0,511104670.0,20230104,14.35,-0.0600000000000005,-0.42
000001.SZ,2023-01-04 14:00:00,14.35,14.29,14.38,14.21,41470460.0,592940300.0,20230104,14.29,0.0600000000000005,0.42
000001.SZ,2023-01-04 15:00:00,14.32,14.35,14.4,14.28,38713108.0,555540000.0,20230104,14.35,-0.02999999999999936,-0.21
000001.SZ,2023-01-05 09:30:00,14.4,14.4,14.42,14.39,1715689.0,24708244.0,20230105,14.32,0.08000000000000007,0.56
000001.SZ,2023-01-05 10:30:00,14.44,14.41,14.74,14.37,98019330.0,1425270100.0,20230105,14.4,0.03999999999999915,0.28
000001.SZ,2023-01-05 11:30:00,14.51,14.43,14.55,14.41,25166534.0,364405000.0,20230105,14.44,0.07000000000000028,0.48
000001.SZ,2023-01-05 14:00:00,14.47,14.48,14.49,14.4,17424924.0,251788060.0,20230105,14.51,-0.03999999999999915,-0.28
000001.SZ,2023-01-05 15:00:00,14.48,14.47,14.54,14.45,24216040.0,351100930.0,20230105,14.47,0.009999999999999787,0.07
000001.SZ,2023-01-06 09:30:00,14.51,14.5,14.56,14.49,671297.0,9738186.0,20230106,14.48,0.02999999999999936,0.21
000001.SZ,2023-01-06 10:30:00,14.56,14.53,14.72,14.48,51078450.0,746776600.0,20230106,14.51,0.05000000000000071,0.34
000001.SZ,2023-01-06 11:30:00,14.63,14.56,14.67,14.52,24504422.0,357779230.0,20230106,14.56,0.07000000000000028,0.48
000001.SZ,2023-01-06 14:00:00,14.62,14.61,14.68,14.56,22728032.0,332464160.0,20230106,14.63,-0.010000000000001563,-0.07
000001.SZ,2023-01-06 15:00:00,14.62,14.61,14.65,14.59,20592272.0,301157000.0,20230106,14.62,0.0,0.0
000001.SZ,2023-01-09 09:30:00,14.76,14.75,14.77,14.75,1439004.0,21226920.0,20230109,14.62,0.14000000000000057,0.96
000001.SZ,2023-01-09 10:30:00,14.76,14.75,14.85,14.52,38305348.0,563060400.0,20230109,14.76,0.0,0.0
000001.SZ,2023-01-09 11:30:00,14.75,14.77,14.81,14.7,19465778.0,287430100.0,20230109,14.76,-0.009999999999999787,-0.07
000001.SZ,2023-01-09 14:00:00,14.82,14.75,14.86,14.67,25598208.0,378709380.0,20230109,14.75,0.07000000000000028,0.47
000001.SZ,2023-01-09 15:00:00,14.8,14.83,14.88,14.79,20957572.0,310941660.0,20230109,14.82,-0.019999999999999574,-0.13
000001.SZ,2023-01-10 09:30:00,14.73,14.76,14.78,14.73,441100.0,6510604.0,20230110,14.8,-0.07000000000000028,-0.47
000001.SZ,2023-01-10 10:30:00,14.62,14.76,14.89,14.59,40534250.0,597804160.0,20230110,14.73,-0.11000000000000121,-0.75
000001.SZ,2023-01-10 11:30:00,14.57,14.61,14.67,14.55,19163230.0,279852200.0,20230110,14.62,-0.049999999999998934,-0.34
000001.SZ,2023-01-10 14:00:00,14.5,14.57,14.61,14.48,24891728.0,361822530.0,20230110,14.57,-0.07000000000000028,-0.48
000001.SZ,2023-01-10 15:00:00,14.44,14.49,14.52,14.39,41912030.0,605104260.0,20230110,14.5,-0.0600000000000005,-0.41
000001.SZ,2023-01-11 09:30:00,14.45,14.45,14.45,14.44,628800.0,9086024.0,20230111,14.44,0.009999999999999787,0.07
000001.SZ,2023-01-11 10:30:00,14.72,14.46,14.78,14.39,37334210.0,545752770.0,20230111,14.45,0.27000000000000135,1.87
000001.SZ,2023-01-11 11:30:00,14.68,14.73,14.74,14.64,10228096.0,150356030.0,20230111,14.72,-0.040000000000000924,-0.27
000001.SZ,2023-01-11 14:00:00,14.67,14.67,14.77,14.65,16943768.0,249250750.0,20230111,14.68,-0.009999999999999787,-0.07
000001.SZ,2023-01-11 15:00:00,14.67,14.67,14.7,14.64,17921740.0,263005250.0,20230111,14.67,0.0,0.0
000001.SZ,2023-01-12 09:30:00,14.72,14.77,14.77,14.71,819300.0,12097862.0,20230112,14.67,0.05000000000000071,0.34
000001.SZ,2023-01-12 10:30:00,14.6,14.71,14.71,14.55,20740792.0,302881280.0,20230112,14.72,-0.120000000000001,-0.82
000001.SZ,2023-01-12 11:30:00,14.65,14.59,14.68,14.57,11913847.0,174268290.0,20230112,14.6,0.05000000000000071,0.34
000001.SZ,2023-01-12 14:00:00,14.62,14.65,14.66,14.53,17842372.0,260392900.0,20230112,14.65,-0.030000000000001137,-0.2
000001.SZ,2023-01-12 15:00:00,14.67,14.62,14.67,14.59,11253175.0,164727360.0,20230112,14.62,0.05000000000000071,0.34
